Payouts Payout Currency,AED,AUD,CAD,CHF,CNY,CZK,EUR,GBP,HKD,JPY,KRW,MYR,NOK,NZD,PEN,SAR,SEK,SGD,THB,USD,ZAR
Transfer Dates Guaranteed Week,Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD)
2020-03-16,0,1232570.2123437268,8800841.732967721,170312.6983324656,496.11371791,2877.2744000000002,348514.4167417133,1238464.9301711454,594708.7785786055,336581.889430119,,152865.2743735461,4708.0059650421,104728.24535816547,,,3926.620835142,351260.96495226637,,4192342.672592767,0
2020-03-09,37800.680790194005,3920020.051510064,17242439.30653718,339715.35410871316,4924.00571509,5921.2804234,1078582.207524249,3621081.8035530513,979580.3122007357,1981987.3510352687,,243694.8550021796,11069.05999287048,287239.5205685835,,,1920.01624669,607925.6698436267,,12345877.715610862,
2020-03-02,26199.047008848,11439023.419182312,15930632.56136871,229205.96874946813,29083.394059358936,233.84770747317998,1335874.4460402937,4274276.372254553,771391.3311816565,3639012.4088781727,,313919.8034228277,12013.42548377616,658843.963431494,,,2479.374378435,583915.8007646216,,13108271.183602137,
2020-02-24,39940.74342094564,10622331.987323333,17278785.988096345,277510.01471453207,16224.60228696132,463.16200218,1601586.5500947186,4244414.150653412,1536194.830607335,5150465.004205354,,457812.7860604066,38263.467880601434,1224212.4832992398,,,9908.231095497998,664439.4050695117,43686.9641048739,15973011.815491855,0
2020-02-17,25718.992549333998,7550856.4291153485,13230444.68987835,273403.6530853361,23392.773181288176,,1670586.1220027297,4304430.13722671,936831.6583301625,3446469.8671462694,,463999.84803170135,29867.0800961307,1003491.0398399363,,,2055.0948129529997,419989.5982830424,,14537865.159596425,
2020-02-10,57075.3574690215,8414855.626773244,15039186.5021138,530481.0395895859,31626.27658546657,,1578720.600651686,4903424.827255735,784440.3618746146,1338502.4650611584,2024.112695,328595.25895350636,19568.046103444918,1136074.8821282603,,,6065.063334654,305932.8013763692,,15369625.36363049,
2020-02-03,70643.15871408599,6081532.564965146,16791425.676511128,304241.60458375886,10513.5267343415,,1534420.0880543876,5323823.318882991,1870540.7460567402,1526164.5877026618,6439.00092,290645.17954639567,22430.52199683179,1274216.5751748194,,,11309.659686824001,476444.6053844467,,21356860.88631029,
2020-01-27,77210.619581368,4602692.186587915,15903951.831273656,325785.79992455465,27330.082731031,,1611378.9603135465,4518465.4881176315,1315674.4984317492,932737.6053846078,,351935.3367526785,31750.885474854163,1220646.9548730412,,,11223.848759325,352829.8851913877,,26255364.01413035,
2020-01-20,59912.95583938573,5949995.4855507305,17110606.610712435,338129.0130423624,68624.88215728481,,1536624.780251813,5981953.195162677,803202.3796263281,1177509.632592538,4288.197565,515992.7180335992,46294.778384208366,1365402.024294778,,,54841.546856577625,296069.68463869346,,44151816.99251089,
